,Hyperscore,MS2,FragShare,MS1,Prosit
Hyperscore,1.000046975483495,0.9192256561300659,0.9192256561300659,0.8697414993617267,0.914131164945015
MS2,0.9192256561300659,1.0001033460636892,1.0001033460636892,0.8790762446327026,0.945661109466969
FragShare,0.9192256561300659,1.0001033460636892,1.0001033460636892,0.8790762446327026,0.945661109466969
MS1,0.8697414993617267,0.8790762446327026,0.8790762446327026,0.9523422691578664,0.8719029244516653
Prosit,0.914131164945015,0.945661109466969,0.945661109466969,0.8719029244516653,1.0001174387087381
