,Hyperscore,MS2,FragShare,MS1,Prosit
Hyperscore,1.0,0.18443143328383876,0.28011153711821263,0.13886081808176917,0.23886869194121324
MS2,0.18443143328383876,1.0,0.2868923572105518,0.5110828016222285,0.20402969882284
FragShare,0.28011153711821263,0.2868923572105518,1.0,0.20127210462346826,0.5084260942060861
MS1,0.13886081808176917,0.5110828016222285,0.20127210462346826,1.0,0.1455814417090202
Prosit,0.23886869194121324,0.20402969882284,0.5084260942060861,0.1455814417090202,1.0
