,Hyperscore,MS2,FragShare,MS1,Prosit
Hyperscore,1.0,0.36842610989957986,0.20023669291688176,0.31315288519771584,0.22640588167131234
MS2,0.36842610989957986,1.0,0.3567906862848308,0.635954811394185,0.31559245250125
FragShare,0.20023669291688176,0.3567906862848308,1.0,0.32345134053925834,0.5149927879845062
MS1,0.31315288519771584,0.635954811394185,0.32345134053925834,1.0,0.3035410031831279
Prosit,0.22640588167131234,0.31559245250125,0.5149927879845062,0.3035410031831279,1.0
