,Hyperscore,MS2,FragShare,MS1,Prosit
Hyperscore,1.0,0.6448958846233263,0.6448958846233263,0.5794746845016144,0.5563589002366619
MS2,0.6448958846233263,1.0,1.0,0.6586764522132565,0.7744881589605934
FragShare,0.6448958846233263,1.0,1.0,0.6586764522132565,0.7744881589605934
MS1,0.5794746845016144,0.6586764522132565,0.6586764522132565,1.0,0.5880074443808735
Prosit,0.5563589002366619,0.7744881589605934,0.7744881589605934,0.5880074443808735,1.0
