,Hyperscore,FragShare,MS1,Prosit
Hyperscore,1.0,0.5672304439746301,0.4717829457364341,0.4666737138830162
FragShare,0.5672304439746301,1.0,0.5655038759689922,0.732847075405215
MS1,0.4717829457364341,0.5655038759689922,0.9714869626497533,0.48887949260042285
Prosit,0.4666737138830162,0.732847075405215,0.48887949260042285,1.0
