,Hyperscore,FragShare,MS1,Prosit
Hyperscore,0.999931876908621,0.4562814188395583,0.3809701667841203,0.396210946676063
FragShare,0.4562814188395583,0.9998919426826403,0.44431759455015274,0.6131970871505754
MS1,0.3809701667841203,0.44431759455015274,0.9250739957716702,0.3943246417665022
Prosit,0.396210946676063,0.6131970871505754,0.3943246417665022,0.9998989898989898
